id,nombre,resumen_descripcion
126,Empresas y Actividades Turisticas,"Se crean enseñanzas turísticas que aplican avances en información, planificación y gestión para mejorar el currículum de futuros profesionales. Se busca adaptar su perfil a las necesidades reales del sector."
127,"Comunicacion Corporativa, Protocolo y Organizacion de Eventos","Los estudiantes de esta titulación suelen tener interés en la organización de eventos, protocolo y relaciones institucionales. Se recomienda tener facilidad para expresarse oralmente y escritamente, así como una curiosidad por investigar diversas materias y adquirir habilidades profesionales como el sentido crítico, la autonimía y la creatividad."
128,Biologia 6. Estudios,"La carrera de Biología estudia los seres vivos, desde plantas y animales hasta su entorno, estructura molecular y células. Profundiza en procesos físicos y químicos, origen y relaciones entre ellos y el medio que les rodea."
129,Ciencias Experimentales,"El título de grado en Ciencias Experimentales ofrece una formación interdisciplinar en Química, Biología, Física y Geología con un enfoque generalista. Se diferencia de los grados tradicionales en una sola disciplina por su enfoque multidisciplinario y flexibilidad para la actividad profesional."
130,Nanociencia y Nanotecnologia,"El Grado en Nanociencia y Nanotecnología ofrece una formación multi e interdisciplinar en ciencias experimentales, enfocada en el diseño y fabricación de nanomateriales. Requiere un buen nivel académico y habilidades científicas para estudiar y analizar sistemas nanométricos."
131,Ciencia y Tecnologia,"El grado de Ciencia y Tecnología de los Alimentos busca mejorar la calidad y diversidad de los productos alimenticios. Los graduados en este campo son especialistas en las propiedades de los alimentos, conocen sus características, beneficios y riesgos, y están preparados para analizar e intervenir en situaciones donde los alimentos en mal estado puedan causar problemas de salud."
132,Ciencias Ambientales y Sostenibilidad,"Los estudios buscan proporcionar conocimientos para comprender y proteger el medio ambiente, así como orientación en gestión ambiental y planificación territorial."
133,Recursos Hidricos,"El Grado en Recursos Hídricos forma profesionales capaces de evaluar, proteger y conservar el agua. Los objetivos incluyen transmitir conocimientos básicos y aplicados para la gestión de recursos hídricos, así como facilitar herramientas para su uso profesional o docente."
134,Ciencias Agrarias y Bioeconomia,"El Grado en Ciencias Agrarias y Bioeconomía forma profesionales capaces de desarrollar y gestionar sistemas de producción de alimentos sostenibles con base científica, considerando la visión global de la bioeconomía."
135,Fisica,"El título oficial de Grado en Física proporciona formación científica en física básica y aplicada, incluyendo estudio de fenómenos físicos, leyes que los gobiernan, experimentación y análisis matemático."
136,Fisica,"El Grado en Física ofrece formación científica en aspectos básicos y aplicados, incluyendo estudio de fenómenos físicos, leyes que los gobiernan, experimentación y análisis con métodos matemáticos."
137,Fisica e Instrumentacion Espacial,El Grado en Física e Instrumentación Espacial forma graduados con conocimientos en física e ingeniería para estudiar fenómenos espaciales. El perfil profesional combina habilidades técnicas y científicas. Se pueden realizar prácticas en empresas espaciales o centros de investigación relacionados.
138,Fisica e Instrumentacion Espacial,"El Grado en Física e Instrumentación Espacial forma graduados con conocimientos en física e ingeniería para estudiar fenómenos espaciales. El perfil profesional combina conocimientos físicos y técnicos, sin competencias profesionales específicas. Ofrece acceso directo al Máster en Ciencia y Tecnología Espacial y al programa de Doctorado en Investigación Espacial y Astrobiología."
139,Fisica Aplicada,"El Grado en Física Aplicada profundiza en las leyes fundamentales de la física, enfocándose en aplicaciones técnicas y habilidades profesionales. Combina teoría matemática con práctica experimental para desarrollar competencias básicas en física clásica y moderna."
140,Fisica Aplicada,"Este Grado en Física Aplicada profundiza en las leyes fundamentales de la física, enfocándose en aplicaciones técnicas y habilidades personales. Combina teoría matemática con práctica experimental para desarrollar competencias básicas en física clásica y moderna."
141,Ingenieria Fisica,"El Grado en Ingeniería Física se dirige a estudiantes que quieren participar en la creación y diseño de tecnologías futuras. Aprenderán principios básicos de física, química y biología para aplicarlos a problemas de ingeniería en áreas como nanotecnología, tecnologías cuánticas o biomateriales."
142,Ingenieria Fisica,"El Grado en Ingeniería Física se enfoca en el diseño e implementación de tecnologías futuras. Los estudiantes aprenderán principios básicos de física, química y biología para aplicarlos a problemas de ingeniería en áreas como la nanotecnología y las tecnologías cuánticas. Se requiere dominio matemático y físico, capacidad analítica y resolución de problemas, así como actitudes de iniciativa y trabajo en equipo."
143,Geologia Realizan: Estudios del interior y exterior de la tierra. Busqueda,"La geología estudia la tierra, sus componentes y fenómenos. Se analiza su composición, estructura, origen y evolución temporal. La carrera se enfoca en el estudio de rocas, volcanes, estratigrafía y sedimentología, así como en aspectos de geodinámica y la localización de recursos naturales."
144,Matematicas Aplicadas,"La carrera de Matemáticas estudia las cantidades a través de razonamientos lógicos. Los graduados en Matemáticas tienen una preparación sólida en matemática y estadística, con conocimientos amplios en diversos campos."
145,Matematicas y Ciencia de Datos,"El título de graduado en Matemáticas y Ciencia de Datos forma egresados con conocimientos rigurosos en estadística y matemática, capacitados para resolver problemas de ciencia de datos en contextos académicos y profesionales. Los estudiantes aprenden a utilizar herramientas informáticas y estadísticas para analizar y visualizar datos, y desarrollan la capacidad innovadora y de divulgación de hallazgos científicos."
146,Bioquimica,"Los estudios buscan equipar a los estudiantes con herramientas conceptuales y técnicas para explicar y gestionar procesos moleculares en seres vivos, aplicables a la industria en diversas áreas."
147,Quimica Tienen,"Estos estudios proporcionan una formación básica en procesos, equipos y materiales químicos. Se relaciona con ingeniería ambiental, seguridad industrial y biotecnología. Se busca comprender la estructura y propiedades de los elementos y compuestos químicos, así como sus transformaciones y reacciones."
148,Biologia Sanitaria,"El graduado en Biología Sanitaria tendrá una amplia formación científica en biomedicina, incluyendo áreas como el cáncer, células madre y genoma humano. Se aplicará a la biotecnología, industria farmacéutica y análisis clínicos."
149,Enfermeria,"La enfermería es una disciplina que forma a personas en la ciencia del cuidado de la salud, incluyendo el mantenimiento y promoción de la salud, prevención de enfermedades y accidentes, asistencia y rehabilitación. Las enfermeras también se encargan de formar a otros profesionales, organizar servicios de enfermería e investigar para mejorar su disciplina."
150,Farmacia,"Proporcionan conocimiento profundo sobre medicamentos, tecnología farmacéutica y efectos en el ser humano."
151,Fisioterapia,"La Fisioterapia es el estudio de técnicas terapéuticas físicas para tratar lesiones y enfermedades. Se enfoca en la rehabilitación del individuo mediante masajes, medios físicos o naturales. Los fisioterapeutas colaboran con otros profesionales de la salud para mejorar la calidad de vida. Su principal elemento diferenciador es la terapia manual, que permite identificar y solucionar problemas del aparato locomotor."
152,Logopedia,"El título de Logopedia capacita a estudiantes para ejercer profesionalmente la logopedia. La formación se estructura en cinco bloques: bases científicas, trastornos de comunicación y habla, evaluación, intervención y habilidades profesionales."
153,Biomedicina,"Los profesionales en Bio medicina deben tener conocimiento multidisciplinar sobre mecanismos moleculares, bioquímicos y fisiopatológicos de enfermedades humanas. Se busca formar a los estudiantes con sólido conocimiento en ciencias básicas y vida, así como principios de farmacología general y molecular."
154,Medicina,"La Medicina es la ciencia que se enfoca en el diagnóstico, tratamiento y prevención de enfermedades. Los médicos trabajan en la promoción de la salud y la asistencia al enfermo en centros públicos y privados."
155,Nutricion Humana y Dietetica,"Formar profesionales que apliquen principios de nutrición a la alimentación individual y grupal, planifiquen menús y dietas especiales y supervisen servicios de comidas."
156,Odontologia,"Formar profesionales en prevención, diagnóstico, tratamiento y rehabilitación de enfermedades bucodentales."
157,Optica y Optometria,Los estudios de Óptica y Optometría evalúan las capacidades visuales mediante pruebas adecuadas y mejoran el rendimiento visual con ayudas ópticas y entrenamiento.
158,Podologia,"La Podología estudia el pie, su estructura y funcionamiento. Los podólogos previenen, atienden y rehabilitan problemas de salud en los pies. Tienen autonomía para recibir pacientes y colaborar con médicos. Se especializan en quiropodia (tratamiento de rozaduras), ortopedia (correcciones con prótesis) y cirugía."
159,Psicologia,El Grado en Psicología forma profesionales especialistas en el análisis de la conducta humana. Los psicólogos aplican sus conocimientos para ayudar a personas con alteraciones psíquicas y entender las dinámicas del comportamiento humano. Se preparan para enfrentar problemas sociales y culturales en la sociedad del siglo XXI.
160,Terapia Ocupacional,El terapeuta ocupacional ayuda a los pacientes a recuperarse mediante actividades físicas y mentales. Trabaja en equipo con otros profesionales para diseñar un plan de tratamiento que mejora la actividad y ocupación de las personas.
161,Veterinaria,"El veterinario es un profesional competente en producción y control sanitario de alimentos de origen animal, así como en la vigilancia y cuidado sanitario de poblaciones de animales. Colabora con la medicina humana y participa en el control del medio ambiente para garantizar los equilibrios biológicos de la naturaleza."
162,Arquitectura,El título de grado en Arquitectura otorga los créditos ECTS necesarios para ejercer la profesión sin un máster en Arquitectura.
163,Fundamentos de Arquitectura y Urbanismo,"Los Grados en Fundamentos de la Arquitectura y Urbanismo deben verificar sus planes de estudio con la Orden EDU/ /, que establece requisitos para la verificación de títulos universitarios. Los egresados deben realizar un Máster en Arquitectura (60 ECTS) para obtener atribuciones profesionales como Arquitecto."
164,Arquitectura Tecnica y Edificacion,"Formar profesionales de Arquitectura Técnica con conocimientos en construcción, dibujo técnico, topografía y más. Ofrece formación científica y técnica actualizada y respetuosa con el medio ambiente."
165,Arquitectura Naval,"La Arquitectura Naval se enfoca en el diseño y construcción de buques, incluyendo la investigación aplicada, desarrollo técnico y administración de astilleros. Forma profesionales capaces de diseñar y calcular estructuras navales, espacios habitables y servicios en buques."
166,Ingenieria Maritima,"El título de Graduado/a en Ingeniería Marítima forma profesionales para diseñar, construir y mantener buques y plataformas marítimas, incluyendo sistemas mecánicos, eléctricos y de control. También capacita para operar y mantener sistemas a bordo de buques."
167,Ingenieria Geomatica,"La Geomática es una ciencia que integra la gestión de información geográfica. Combina tecnologías como Cartografía, Sistemas de Información Geográfica y Teledetección para diseñar y desarrollar proyectos geomáticos en campos como medición, representación y visualización de la información territorial."
168,Ingenieria de las Tecnologias de la Informacion Geoespacial,"El Grado forma profesionales en TIC que tratan y analizan información geoespacial mediante herramientas SIG y diseño de soluciones web. Los objetivos incluyen diseñar bases de datos espaciales, programar SIG, crear servicios en infraestructuras de datos espaciales y aplicar análisis de imágenes de teledetección."
169,Gestion y Operaciones del Transporte Aereo,"El título ofrece tres itinerarios para la gestión y operación del transporte aéreo. Los graduados desarrollarán capacidades en planificación, dirección de proyectos y explotación de actividades relacionadas con el sector aeronáutico."
170,Ingenieria en Tecnologias Aeroespaciales,El Grado en Ingeniería en Tecnologías Aeroespaciales busca la excelencia en la formación de ingenieros aeroespaciales con una sólida base físicomatemática y fundamentos en tecnologías aeroespaciales complejas.
171,Ingenieria Agricola,"Se estudia cómo mejorar cultivos y rendimiento ganadero mediante sistemas de riego óptimos y prevención de plagas con insecticidas, herbicidas y otros métodos."
172,Ingenieria Agroambiental,"El graduado en Ingeniería Agroambiental trabaja en ciencia y tecnología para valorar, mejorar y gestionar la calidad ambiental en agricultura, ganadería, agroindustrias y medio rural. Evalúa impacto ambiental y propone medidas de corrección."
173,Ingenieria Alimentaria,"La Ingeniería Alimentaria mejora la calidad y diversidad de los productos alimenticios. Los profesionales en este campo diseñan y ejecutan procesos de producción para garantizar alimentos sanos, seguros y saludables."
174,Ingenieria Forestal,"El título de Grado de Ingeniero Forestal forma profesionales expertos en evaluación y gestión sostenible de áreas forestales. Los titulados serán competentes en materias como hidráulica, construcción y maquinaria. Se ofrecen dos intensificaciones: Explotaciones forestales y Industrias forestales."
175,Ingenieria del Medio Natural © Comunidad de Madrid. Edicion:,"Formar profesionales con formación científica y tecnológica para desarrollar tecnologías medioambientales y ecológicas en gestión, conservación y protección del Medio Natural."
176,Ingenieria Ambiental,"El Grado en Ingeniería Ambiental busca comprender la interacción del ser humano con el medio ambiente. Los graduados deben diseñar tratamientos para mitigar los cambios ambientales y transformar productos o procesos sostenibles, equilibrando las necesidades materiales de la sociedad con el respeto al Medio Ambiente."
177,Ingenieria Quimica,"Formar profesionales que apliquen el método científico e ingeniería para resolver problemas complejos en diseño de productos y procesos, considerando calidad, seguridad, economía y conservación del medio ambiente."
178,Ingenieria Biomedica,"El grado combina la ingeniería y las necesidades médicas para desarrollar herramientas y habilidades que permitan mejorar o crear nuevos procesos y servicios industriales y socio-sanitarios. Los estudiantes aprenderán a aplicar sus conocimientos a problemas reales, diseñar productos sanitarios y tecnologías, y gestionar recursos técnicos en hospitales."
179,Ingenieria Civil en Construcciones Civiles,"Profesionales que organizan obras civiles, procedimientos y maquinaria. Formación en tecnologías de construcción, hidrología y servicios urbanos. Comprensión de condicionamientos técnicos y legales. Capacitación para métodos eficaces y respeto al medio ambiente."
180,Ingenieria Civil y Territorial,"Este título forma ingenieros técnicos especializados en obras públicas, capaces de concebir, proyectar y ejecutar grandes infraestructuras. Sus objetivos incluyen formar profesionales con habilidades laborales en ingeniería civil y preparación para un máster en ingeniería de Caminos, Canales y Puertos."
181,Transporte y Logistica,Los estudios de Transporte y Logística buscan mejorar conocimientos tecnológicos para optimizar soluciones de transporte.
182,Ingenieria en Diseno Industrial y Desarrollo de Producto,"La formación de Grado en Diseño Industrial forma profesionales capaces de diseñar productos innovadores y competitivos desde el punto de vista funcional, estructural y estético. Se enfoca en la gestión del proceso de vida de un producto, aplicando métodos y teorías para crear valor añadido y satisfacer las necesidades de los consumidores."
183,Ingenieria en Organizacion Industrial,"Un Ingeniero de Organización analiza y resuelve problemas para optimizar los procesos de una empresa, identificando prioridades estratégicas, recursos y beneficios. Formado en técnica y gestión, tiene una visión global de la empresa."
184,Ingenieria Electrica,"El grado se enfoca en aplicar la energía eléctrica para mejorar procesos industriales, aumentar producción y simplificar trabajos. Los objetivos incluyen diseñar y analizar sistemas físicos y realizar proyectos de ingeniería, con énfasis en el cálculo y diseño de máquinas eléctricas e instalaciones."
185,Ingenieria en Electronica y Automatica Industrial,"La titulación se centra en la tecnología punta y la creación de ingenieros mecánicos que mejoren producción, productividad y trabajo humano. Se aplican conocimientos a sistemas para mejorar procesos industriales y otros ámbitos como medicina, agricultura y energía."
186,Ingenieria Mecanica,"Los titulados en Ingeniería Mecánica redactan y desarrollan proyectos técnicos en fabricación, construcción y mantenimiento de maquinaria e instalaciones industriales. Dirigen actividades de producción, operación y mantenimiento, y gestionan industrias relacionadas con la ingeniería mecánica."
187,Ingenieria en Industria Conectada,"Profesional con experiencia en tecnología, capaz de aportar valor en áreas técnicas y de gestión. Conocimientos en matemáticas, física, programación, termodinámica y otras disciplinas relacionadas con la Industria conectada."
188,Ingenieria en Sistemas Industriales,"El título de Grado en Ingeniería en Sistemas Industriales es un grado generalista que abarca áreas como Mecánica, Electrónica y Automática, Automoción, Robótica, Energía y Organización Industrial."
189,Ingenieria en Tecnologias Industriales,"El Grado en Ingeniería en Tecnologías Industriales forma ingenieros polivalentes y generalistas para departamentos de I+D empresarial, puestos de responsabilidad y docencia. Se enfoca en el impacto ambiental, desarrollo sostenible y trabajo responsable en entornos industriales."
190,Ingenieria de la Energia,"La educación superior en ciencia e ingeniería energética es crucial para un uso sostenible de la energía. Los objetivos son formar profesionales en ingeniería energética y capacitar a desarrollar tecnologías eficientes y sostenibles, incluyendo energías renovables como solar, eólica y nuclear."
191,"Ingenieria de los Recursos Energeticos, Combustibles y Explosivos","El título de Ingeniero Técnico de Minas en Recursos Energéticos, Combustibles y Explosivos forma a profesionales capaces de diseñar e implementar sistemas de producción, almacenamiento y transporte de combustible, así como evaluar la seguridad y planificar proyectos en el sector energético."
192,Ingenieria en Tecnologia Minera Estos,"Un ingeniero minero explora y extrae recursos naturales para la industria. Investiga métodos de extracción y transporte de minerales para crear sistemas más seguros y rentables. Estudia tecnología, diseño e instalaciones para aprovechar materia prima de manera óptima."
193,Ingenieria Geologica,"Estudios que combinan geología e ingeniería para formar profesionales en obras públicas, valoración de recursos minerales y hidrogeológicos, considerando aspectos medioambientales. Capacitan para actividades como prospección de recursos naturales, diseño de sondeos petroleros y cimentaciones especiales."
194,Ingenieria Matematica,"La Ingeniería Matemática aplica métodos matemáticos avanzados a problemas en ingeniería, ciencia, tecnología y empresa. Se distingue por su enfoque analítico y soluciones generales. Requiere una sólida base en matemáticas para proporcionar rigor y disciplina formal."
195,Ingenieria en Matematica Aplicada al Analisis de Datos,"Titulación para estudiantes interesados en matemáticas, informática y tecnología. Desarrolla habilidades analíticas, de planificación y liderazgo para resolver problemas y proyectos prácticos."
196,Matematica Computacional,"El Grado en Matemática Aplicada y Computación forma profesionales que aplican matemáticas en áreas como la ciencia, ingeniería y economía. Los estudiantes se preparan para diseñar y usar algoritmos y métodos numéricos para resolver problemas reales y desarrollar software."
197,Ingenieria de Materiales,Formar ingenieros en materiales con preparación técnica interdisciplinar para desempeñar actividades relacionadas con los materiales en sectores productivos.
198,Ingenieria Electronica de Comunicaciones,"La titulación se enfoca en Tecnologías de la Información y las Comunicaciones (TIC), combinando formación profesional con aspectos científicos. Los objetivos incluyen el desarrollo de proyectos para redes, servicios y aplicaciones de telecomunicación, así como la adquisición de conocimientos sobre materiales electrónicos para el diseño y desarrollo de sistemas en el sector de las telecomunicaciones."
199,Ingenieria de Comunicaciones Moviles y Espaciales,"La titulación se centra en la capacidad para diseñar, explotar y gestionar redes y servicios de telecomunicaciones. La formación incluye fundamentos teóricos de ingeniería, conocimiento profundo de tecnologías específicas y técnicas concretas aplicadas a la especialidad."
200,Ingenieria en Sistemas Audiovisuales y Multimedia,"El grado en Ingeniería en Sistemas Audiovisuales y Multimedia se centra en los fundamentos de las Tecnologías de la Información y Comunicaciones, especializándose en generación, transmisión y almacenamiento de contenido audiovisual y multimedia. Los graduados serán profesionales clave en instituciones y empresas que ofrecen servicios avanzados de comunicaciones digitales."
201,Ingenieria en Sistemas de Telecomunicacion,"La titulación se enfoca en Tecnologías de la Información y las Comunicaciones (TIC), con alta demanda laboral. Los objetivos incluyen diseñar, desarrollar y gestionar proyectos de redes, servicios y aplicaciones de telecomunicación."
202,Ingenieria de Sonido e Imagen,"La titulación se centra en Tecnologías de la Información y las Comunicaciones, con alta demanda laboral. Sus objetivos incluyen diseñar y gestionar proyectos de redes y servicios de telecomunicación, así como evaluar el impacto medioambiental del ruido."
203,Ingenieria de Tecnologias y Servicios de Telecomunicacion,"Los grados en Ingeniería de Telecomunicación forman a los estudiantes para el ejercicio profesional en tecnologías de la información y comunicaciones. Los egresados pueden analizar, diseñar e implementar sistemas y redes."
204,Ingenieria Telematica,"El ingeniero en telecomunicaciones diseña, desarrolla y gestiona proyectos para redes y servicios de comunicación, incluyendo la elaboración de proyectos de videoconferencia digital y la explotación de redes públicas y privadas."
205,Ingenieria y Sistemas de Datos,"El objetivo de este grado es formar ingenieros que lideren la transformación digital, aprovechando la potencia de los datos. Los estudiantes aprenderán a gestionar y procesar grandes volúmenes de datos para optimizar empresas e instituciones y ofrecer servicios inteligentes. Deberán conocer fundamentos matemáticos, técnicas de modelado y optimización, así como tecnologías de adquisición, almacenamiento y protección de datos."
206,Ingenieria de Computadores,"Formar profesionales en sistemas de hardware con conocimiento global y capacidad para liderar proyectos en un entorno en constante evolución. Los titulados pueden trabajar en empresas de informática, departamentos de investigación o como analistas/jefes de proyecto."
207,Ingenieria Informatica,"El Ingeniero Informático conoce sistemas de representación de la información, análisis de datos y máquinas de tratamiento. Forma profesionales que crean programas informáticos ajustados a las necesidades sociales y empresariales."
208,Ingenieria Informatica Biomedica,"El grado en Ingeniería Informática Biomédica se enfoca en la aplicación de tecnología, informática y programación en salud y biomedicina."
209,Ingenieria de Sistemas de Informacion,"Este grado prepara a profesionales para diseñar sistemas informáticos que apoyen procesos de negocios actuales, enfocándose en tecnología orientada a sistemas web."
210,Tecnologias para la Sociedad de la Informacion,Formar profesionales que integren tecnologías de la información en procesos empresariales para satisfacer necesidades de información y mejorar la eficiencia y competitividad.
211,Ingenieria del Software,"Formar profesionales que utilicen un enfoque sistemático para el desarrollo y mantenimiento del software, estableciendo principios sólidos de ingeniería. Requiere conocimientos profundos de programación, implantación y planificación de sistemas informáticos. Se enfoca en la responsabilidad civil y conducta ética del Ingeniero del Software."
212,Ingenieria de la Ciberseguridad,"Este grado combina conocimientos de tecnología con habilidades para mejorar la seguridad en organizaciones. Se forman profesionales capaces de diseñar y gestionar sistemas informáticos seguros, considerando aspectos legales, éticos y humanos."
213,Matematicas e Informatica,"Este título combina Matemáticas e Informática, enfatizando la interrelación entre ambas. Forma graduados con conocimientos generales en ambos campos, preparándolos para puestos de responsabilidad o estudios posteriores."
214,Ingenieria en Tecnologias para Animacion y Videojuegos,"El Grado en Ingeniería en Tecnologías para Animación y Videojuegos capacita a los estudiantes para trabajar en el desarrollo de videojuegos o animación. Requiere conocimientos previos en ciencias, interés por el arte y habilidades analíticas."
215,Diseno y Desarrollo de Videojuegos,"Este grado combina fundamentos de programación con diseño y desarrollo técnico-artístico para crear videojuegos. Los estudiantes aprenderán herramientas para concebir, diseñar, programar y comercializar juegos."
216,Ingenieria de Datos e Inteligencia Artificial,"Los egresados deben diseñar e implementar infraestructuras de grandes masas de datos, integrar datos de diversos recursos y administrar volúmenes de datos para optimizar el rendimiento del ecosistema de datos. También deben convertir datos en conocimiento aplicando técnicas de estadística y aprendizaje máquina para resolver problemas críticos del negocio."
217,Ciencia de Datos e Inteligencia Artificial,"El grado forma profesionales versátiles con sólida base en Matemáticas, Estadística y Computación. Los egresados pueden aplicar habilidades en tecnologías de la información para ciencia de datos e inteligencia artificial. Se enfoca en identificar y resolver retos del big data y la inteligencia artificial, así como en diseñar estrategias de gestión de datos y sistemas de información."
218,Inteligencia Artificial,"Este Grado en Inteligencia Artificial proporciona a sus egresados una sólida base en informática y habilidades prácticas para diseñar, desarrollar y gestionar soluciones basadas en inteligencia artificial. Los estudiantes deben tener habilidades matemáticas y analíticas para comprender cómo utilizar tecnologías digitales como impulsores de la innovación."
219,Computacion e Inteligencia Artificial,"Este Grado en Informática con Inteligencia Artificial proporciona a sus egresados una sólida base en informática y IA para diseñar, desarrollar y gestionar soluciones. Los estudiantes deben tener habilidades matemáticas y analíticas para comprender cómo utilizar tecnologías digitales como impulsores de la innovación."
220,Ingenieria Robotica Sotware,"Formar profesionales que analicen, diseñen y operen robots y sistemas inteligentes mediante software e inteligencia artificial. Los grados enfocan en el desarrollo de algoritmos y software para aportar inteligencia a los robots y sistemas."
221,Ingenieria Robotica e Inteligencia artificial,"El Grado en Ingeniería Robótica e Inteligencia Artificial prepara a los estudiantes para liderar proyectos de tecnología y robotización en diversas áreas, como la logística, agricultura y transporte. La formación es integral, práctica y actualizada en robótica industrial, inteligencia artificial y automatización industrial."
